Frame,Mode,FL,Zoom,,
0,IR,27,1,,
920,IR,135,1,,
973,IR,27,1,,
1197,IR,135,1,,
1273,IR,675,1,,
1612,IR,135,1,,
2171,EOW,17,1,,
2274,EOW,115,1,,
3579,EOW,200,1,,
3608,EOW,200,1.5,,
3630,EOW,200,2,,
3670,EOW,200,1.5,,
3690,EOW,200,1,,
4727,EOW,200,1.5,,
4745,EOW,200,2,,
4766,EOW,200,4,,
4780,EOW,200,2,,
4799,EOW,200,1.5,,
4807,EOW,200,1,,
6753,EON,9,1,,
6775,IR,135,1,,
6822,IR,675,1,,
6976,IR,135,1,,
7094,IR,675,1,,
7193,EOW,200,1,Smooth,
7383,EOW,94,1,to here,
7422,EOW,200,1,,
7535,EOW,200,1.5,,
7542,EOW,200,2,,
7564,EOW,200,1.5,,
7570,EOW,200,1,,
7584,EOW,115,1,,
8348,EOW,200,1,,
8377,EOW,115,1,,
8384,EOW,80,1,,
8489,EON,9,1,,
8506,IR,675,1,,
8633,IR,27,1,,
8677,IR,135,1,,
8704,IR,675,1,,
9065,IR,135,1,,
9678,IR,675,1,,
10187,IR,135,1,,
10458,IR,675,1,,
10813,IR,1012,1,,B
10883,IR,1012,1,,W
10965,IR,1012,1,,B
11355,IR,675,1,,
11797,EOW,80,1,,
11865,EOW,200,1,,
11886,EOW,200,1.5,,
11990,EOW,200,1,,
12075,EON,9,1,,
12096,IR,675,1,,
13085,EOW,200,1,,
13108,EON,9,1,,
13145,IR,675,1,,
15145,EOW,200,1,,
15249,EON,9,1,,
15292,IR,675,1,,
15709,IR,135,1,,
15752,IR,675,1,,
16365,IR,135,1,,
16450,EOW,200,1,,
16649,EON,9,1,,
16678,IR,135,1,,
16712,EOW,200,1,,
16725,EON,9,1,,
16793,EON,44,1,,
16820,EON,94,1,,
16996,EON,154,1,,
17009,EON,154,2,,
17077,EON,154,1,,
17333,IR,135,1,,
17398,IR,675,1,,
17590,IR,1012,1,,