Frame,X pixels,Y pixels,centerx,centery,offx,offy,atn2
0,150,119,317.5,242.4,-167.5,123.4,-53.62031577
1,150.785,118.5,,,-166.715,123.9,-53.38084151
2,150.766,118.449,,,-166.734,123.951,-53.3726784
3,150.82,118.484,,,-166.68,123.916,-53.37153959
4,150.762,118.461,,,-166.738,123.939,-53.37599246
5,150.793,118.473,,,-166.707,123.927,-53.37354792
6,150.855,118.527,,,-166.645,123.873,-53.37529966
7,151.684,117.5,,,-165.816,124.9,-53.01131178
8,151.742,117.5,,,-165.758,124.9,-53.00167829
9,151.66,117.531,,,-165.84,124.869,-53.02213128
10,151.672,117.539,,,-165.828,124.861,-53.02190298
11,151.617,117.512,,,-165.883,124.888,-53.02508004
12,151.797,117.488,,,-165.703,124.912,-52.98989323
13,152.617,117.184,,,-164.883,125.216,-52.78611484
14,152.582,116.578,,,-164.918,125.822,-52.65865965
15,152.59,116.586,,,-164.91,125.814,-52.65907614
16,152.566,116.562,,,-164.934,125.838,-52.6578268
17,152.594,116.559,,,-164.906,125.841,-52.65247687
18,152.707,116.586,,,-164.793,125.814,-52.63946437
19,153.559,116.566,,,-163.941,125.834,-52.49171978
20,153.465,116.566,,,-164.035,125.834,-52.50758162
21,153.449,115.871,,,-164.051,126.529,-52.35777231
22,153.512,115.863,,,-163.988,126.537,-52.34537702
23,153.5,115.871,,,-164,126.529,-52.34915673
24,153.52,115.852,,,-163.98,126.548,-52.34161618
25,154.371,115.82,,,-163.129,126.58,-52.19031375
26,154.332,115.414,,,-163.168,126.986,-52.10805181
27,154.305,115.262,,,-163.195,127.138,-52.07942208
28,154.309,115.25,,,-163.191,127.15,-52.0761195
29,154.332,115.266,,,-163.168,127.134,-52.07569989
30,154.434,115.234,,,-163.066,127.166,-52.05133582
31,155.312,114.805,,,-162.188,127.595,-51.80749938
32,155.262,114.824,,,-162.238,127.576,-51.82022724
33,155.27,114.812,,,-162.23,127.588,-51.81623581
34,155.285,114.234,,,-162.215,128.166,-51.6877523
35,155.23,114.238,,,-162.27,128.162,-51.69806988
36,155.344,114.25,,,-162.156,128.15,-51.68109281
37,156.145,114.281,,,-161.355,128.119,-51.54974315
38,156.156,114.254,,,-161.344,128.146,-51.54196108
39,156.145,114.234,,,-161.355,128.166,-51.5395087
40,156.125,113.457,,,-161.375,128.943,-51.37419718
41,156.105,113.332,,,-161.395,129.068,-51.3505836
42,156.238,113.316,,,-161.262,129.084,-51.32407706
43,157.133,113.289,,,-160.367,129.111,-51.16256083
44,157.094,113.301,,,-160.406,129.099,-51.17196742
45,157.109,113.309,,,-160.391,129.091,-51.17108455
46,157.074,113.305,,,-160.426,129.095,-51.1763236
47,157.109,112.324,,,-160.391,130.076,-50.95818481
48,157.102,112.359,,,-160.398,130.041,-50.96695113
49,157.297,112.453,,,-160.203,129.947,-50.95312232
50,157.945,112.438,,,-159.555,129.962,-50.83622289
51,157.945,112.359,,,-159.555,130.041,-50.81917295
52,157.941,112.348,,,-159.559,130.052,-50.817503
53,157.836,111.469,,,-159.664,130.931,-50.64684838
54,157.945,111.402,,,-159.555,130.998,-50.61328703
55,158.066,111.352,,,-159.434,131.048,-50.58124252
56,158.25,111.383,,,-159.25,131.017,-50.5554343
57,158.848,111.398,,,-158.652,131.002,-50.452859
58,158.867,111.355,,,-158.633,131.045,-50.44025736
59,158.828,111.375,,,-158.672,131.025,-50.45146652
60,158.828,111.391,,,-158.672,131.009,-50.45490185
61,158.859,110.438,,,-158.641,131.962,-50.2453733
62,159.09,110.566,,,-158.41,131.834,-50.23166192
63,159.637,110.496,,,-157.863,131.904,-50.11922079
64,159.699,110.477,,,-157.801,131.923,-50.10408516
65,159.688,110.496,,,-157.812,131.904,-50.1101113
66,159.676,109.523,,,-157.824,132.877,-49.90491741
67,159.723,109.492,,,-157.777,132.908,-49.88992386
68,159.73,109.449,,,-157.77,132.951,-49.87953863
69,159.984,109.406,,,-157.516,132.994,-49.8249092
70,160.559,109.438,,,-156.941,132.962,-49.72839222
71,160.559,109.426,,,-156.941,132.974,-49.72584194
72,160.527,109.434,,,-156.973,132.966,-49.73330332
73,160.543,109.449,,,-156.957,132.951,-49.73361086
74,160.578,108.496,,,-156.922,133.904,-49.52535442
75,160.559,108.578,,,-156.941,133.822,-49.54610874
76,160.566,108.555,,,-156.934,133.845,-49.53998545
77,160.605,108.551,,,-156.895,133.849,-49.53210886
78,160.832,108.602,,,-156.668,133.798,-49.50192708
79,161.488,108.562,,,-156.012,133.838,-49.37469999
80,161.562,108.469,,,-155.938,133.931,-49.34159559
81,161.48,107.797,,,-156.02,134.603,-49.21470279
82,161.508,107.789,,,-155.992,134.611,-49.20793227
83,161.461,107.785,,,-156.039,134.615,-49.21562732
84,161.488,107.746,,,-156.012,134.654,-49.20251414
85,161.527,107.809,,,-155.973,134.591,-49.20869116
86,161.547,107.797,,,-155.953,134.603,-49.20253037
87,161.977,107.609,,,-155.523,134.791,-49.0846911
88,162.547,106.781,,,-154.953,135.619,-48.80671968
89,162.543,106.777,,,-154.957,135.623,-48.80661519
90,162.531,106.777,,,-154.969,135.623,-48.80881405
91,162.531,106.758,,,-154.969,135.642,-48.80483631
92,162.5,106.766,,,-155,135.634,-48.81219065
93,162.523,106.766,,,-154.977,135.634,-48.8079769
94,162.562,106.625,,,-154.938,135.775,-48.771324
95,162.523,106.215,,,-154.977,136.185,-48.69282729
96,162.543,106.203,,,-154.957,136.197,-48.68665733
97,162.773,106.34,,,-154.727,136.06,-48.67304851
98,163.348,106.148,,,-154.152,136.252,-48.52715034
99,163.387,106.176,,,-154.113,136.224,-48.52579968
100,163.418,106.164,,,-154.082,136.236,-48.51757559
101,163.402,106.172,,,-154.098,136.228,-48.52219745
102,163.402,105.301,,,-154.098,137.099,-48.34092332
103,163.391,105.328,,,-154.109,137.072,-48.34855831
104,163.363,105.328,,,-154.137,137.072,-48.35372729
105,163.363,105.34,,,-154.137,137.06,-48.35621821
106,163.348,105.324,,,-154.152,137.076,-48.3556657
107,163.637,105.246,,,-153.863,137.154,-48.28608038
108,164.125,104.914,,,-153.375,137.486,-48.12681553
109,164.168,104.348,,,-153.332,138.052,-48.00180635
110,164.234,104.352,,,-153.266,138.048,-47.99036547
111,164.203,104.352,,,-153.297,138.048,-47.99612769
112,164.168,104.359,,,-153.332,138.041,-48.00407658
113,164.18,104.355,,,-153.32,138.045,-48.00102121
114,164.168,104.355,,,-153.332,138.045,-48.00325102
115,164.211,104.355,,,-153.289,138.045,-47.99525996
116,164.418,103.312,,,-153.082,139.088,-47.74218724
117,164.934,103.34,,,-152.566,139.06,-47.65163
118,165.055,103.367,,,-152.445,139.033,-47.63453621
119,165.078,103.363,,,-152.422,139.037,-47.62941117
120,165.152,103.371,,,-152.348,139.029,-47.61719919
121,165.145,103.398,,,-152.355,139.002,-47.62405077
122,165.098,103.047,,,-152.402,139.353,-47.56089763
123,165.094,102.457,,,-152.406,139.943,-47.4410728
124,165.086,102.402,,,-152.414,139.998,-47.43135487
125,165.262,102.488,,,-152.238,139.912,-47.41591369
126,165.859,102.402,,,-151.641,139.998,-47.28618494
127,165.898,102.406,,,-151.602,139.994,-47.27965547
128,166.059,102.41,,,-151.441,139.99,-47.25012658
129,166.055,101.422,,,-151.445,140.978,-47.04997213
130,165.941,101.41,,,-151.559,140.99,-47.0690409
131,165.934,101.406,,,-151.566,140.994,-47.06954993
132,165.859,101.398,,,-151.641,141.002,-47.08206401
133,165.871,101.41,,,-151.629,140.99,-47.08223463
134,166.121,101.371,,,-151.379,141.029,-47.02718069
135,166.914,101.387,,,-150.586,141.013,-46.88030678
136,166.953,101.184,,,-150.547,141.216,-46.83177701
137,166.879,100.703,,,-150.621,141.697,-46.74860522
138,166.898,100.59,,,-150.602,141.81,-46.72220283
139,166.914,100.574,,,-150.586,141.826,-46.71593833
140,166.91,100.609,,,-150.59,141.791,-46.72375582
141,166.836,100.586,,,-150.664,141.814,-46.73316618
142,166.859,100.566,,,-150.641,141.834,-46.72476793
143,166.91,99.6641,,,-150.59,142.7359,-46.53378642
144,167.641,99.7344,,,-149.859,142.6656,-46.40866243
145,167.648,99.7266,,,-149.852,142.6734,-46.40576151
146,167.73,99.6914,,,-149.77,142.7086,-46.38304079
147,167.77,99.707,,,-149.73,142.693,-46.37852562
148,167.828,99.7188,,,-149.672,142.6812,-46.36980549
149,167.793,99.293,,,-149.707,143.107,-46.29122284
150,167.668,98.6992,,,-149.832,143.7008,-46.19659816
151,167.742,98.7383,,,-149.758,143.6617,-46.19024733
152,168.613,98.7383,,,-148.887,143.6617,-46.02326828
153,168.523,98.7305,,,-148.977,143.6695,-46.0390147
154,168.551,98.7539,,,-148.949,143.6461,-46.03829671
155,168.559,98.7539,,,-148.941,143.6461,-46.03675901
156,168.539,98.7617,,,-148.961,143.6383,-46.0421577
157,168.566,98.7695,,,-148.934,143.6305,-46.03852275
158,168.621,98.1836,,,-148.879,144.2164,-45.91139189
159,168.555,98.1641,,,-148.945,144.2359,-45.92021123
160,168.719,98.2188,,,-148.781,144.1812,-45.89952722
161,169.539,98.1953,,,-147.961,144.2047,-45.73659666
162,169.469,98.2109,,,-148.031,144.1891,-45.75324036
163,169.496,98.1875,,,-148.004,144.2125,-45.74336924
164,169.488,97.4375,,,-148.012,144.9625,-45.59635624
165,169.469,97.3203,,,-148.031,145.0797,-45.57688552
166,169.473,97.3438,,,-148.027,145.0562,-45.58075138
167,169.488,97.3281,,,-148.012,145.0719,-45.57474897
168,169.594,97.3594,,,-147.906,145.0406,-45.56040961
169,170.43,97.3281,,,-147.07,145.0719,-45.39186749
170,170.336,97.3438,,,-147.164,145.0562,-45.41327037
171,170.324,97.3398,,,-147.176,145.0602,-45.41481614
172,170.344,97.3398,,,-147.156,145.0602,-45.41092327
173,170.34,96.3359,,,-147.16,146.0641,-45.21413708
174,170.371,96.3633,,,-147.129,146.0367,-45.21347617
175,170.371,96.3555,,,-147.129,146.0445,-45.21194613
176,170.395,96.3477,,,-147.105,146.0523,-45.20574281
177,170.531,96.3867,,,-146.969,146.0133,-45.18689655
178,171.18,96.3594,,,-146.32,146.0406,-45.05475579
179,171.215,95.457,,,-146.285,146.943,-44.8714292
180,171.273,95.3867,,,-146.227,147.0133,-44.8463664
181,171.27,95.375,,,-146.23,147.025,-44.84467432
182,171.309,95.3477,,,-146.191,147.0523,-44.8317141
183,171.27,95.3672,,,-146.23,147.0328,-44.84315455
184,171.293,95.3867,,,-146.207,147.0133,-44.84244791
185,171.273,95.3672,,,-146.227,147.0328,-44.84256682
186,171.5,95.3711,,,-146,147.0289,-44.79882058
187,172.145,95.3633,,,-145.355,147.0367,-44.67046517
188,172.219,94.3672,,,-145.281,148.0328,-44.46248045
189,172.219,94.3906,,,-145.281,148.0094,-44.46700848
190,172.23,94.4219,,,-145.27,147.9781,-44.47089754
191,172.25,94.4062,,,-145.25,147.9938,-44.4639151
192,172.258,94.3867,,,-145.242,148.0133,-44.45856369
193,172.258,94.3867,,,-145.242,148.0133,-44.45856369
194,172.262,93.4766,,,-145.238,148.9234,-44.28220759
195,172.281,93.4102,,,-145.219,148.9898,-44.26569465
196,172.582,93.3984,,,-144.918,149.0016,-44.20400684
197,173.133,93.4219,,,-144.367,148.9781,-44.09944017
198,173.148,93.3945,,,-144.352,149.0055,-44.09119914
199,173.129,93.4492,,,-144.371,148.9508,-44.10548111
200,173.125,93.418,,,-144.375,148.982,-44.10027728
201,173.109,93.3633,,,-144.391,149.0367,-44.0929392
202,173.082,92.6719,,,-144.418,149.7281,-43.96577492
203,173.125,92.6094,,,-144.375,149.7906,-43.94530164
204,173.109,92.6211,,,-144.391,149.7789,-43.9507104
205,173.391,92.6602,,,-144.109,149.7398,-43.90221911
206,173.938,92.5977,,,-143.562,149.8023,-43.78141635
207,173.949,92.6133,,,-143.551,149.7867,-43.78220396
208,173.938,92.6172,,,-143.562,149.7828,-43.78514237
209,173.977,92.4688,,,-143.523,149.9312,-43.74902295
210,173.965,91.6055,,,-143.535,150.7945,-43.58711275
211,173.926,91.5977,,,-143.574,150.8023,-43.5934062
212,173.891,91.6094,,,-143.609,150.7906,-43.60260075
213,173.898,91.6016,,,-143.602,150.7984,-43.59972591
214,173.871,91.6055,,,-143.629,150.7945,-43.60584539
215,174.285,91.5195,,,-143.215,150.8805,-43.50694288
216,174.766,91.5625,,,-142.734,150.8375,-43.41885714
217,174.75,91.6055,,,-142.75,150.7945,-43.43021905
218,174.766,90.7148,,,-142.734,151.6852,-43.25857808
219,174.773,90.7383,,,-142.727,151.6617,-43.26160614
220,174.742,90.7031,,,-142.758,151.6969,-43.26118024
221,174.727,90.6914,,,-142.773,151.7086,-43.26197927
222,174.742,90.7148,,,-142.758,151.6852,-43.2633858
223,175.152,90.6914,,,-142.348,151.7086,-43.17673935
224,175.73,90.5742,,,-141.77,151.8258,-43.0383583
225,175.738,90.2578,,,-141.762,152.1422,-42.9772506
226,175.703,90.2109,,,-141.797,152.1891,-42.9754973
227,175.73,90.2617,,,-141.77,152.1383,-42.97959574
228,175.707,90.25,,,-141.793,152.15,-42.98203393
229,175.688,90.2305,,,-141.812,152.1695,-42.98220066
230,175.957,90.4258,,,-141.543,151.9742,-42.96464292
231,176.715,90.2656,,,-140.785,152.1344,-42.7811384
232,176.691,89.3164,,,-140.809,153.0836,-42.60839751
233,176.691,89.3164,,,-140.809,153.0836,-42.60839751
234,176.746,89.3086,,,-140.754,153.0914,-42.5957901
235,176.691,89.3203,,,-140.809,153.0797,-42.60912482
236,176.906,89.2734,,,-140.594,153.1266,-42.55676043
237,177.555,88.8633,,,-139.945,153.5367,-42.34841726
238,177.547,88.3203,,,-139.953,154.0797,-42.24935909
239,177.555,88.3164,,,-139.945,154.0836,-42.24700725
240,177.543,88.2656,,,-139.957,154.1344,-42.24005256
241,177.746,88.4023,,,-139.754,153.9977,-42.22396434
242,178.402,88.3438,,,-139.098,154.0562,-42.07901472
243,178.379,88.3477,,,-139.121,154.0523,-42.08444821
244,178.391,88.293,,,-139.109,154.107,-42.07187243
245,178.371,87.3477,,,-139.129,155.0523,-41.90174575
246,178.574,87.3086,,,-138.926,155.0914,-41.85298354
247,179.195,87.3516,,,-138.305,155.0484,-41.73333778
248,179.215,87.3594,,,-138.285,155.0406,-41.73065355
249,179.238,87.3242,,,-138.262,155.0758,-41.7194585
250,179.211,87.3516,,,-138.289,155.0484,-41.73004497
251,179.535,86.957,,,-137.965,155.443,-41.59098029
252,180.156,86.3516,,,-137.344,156.0484,-41.35220676
253,180.129,86.3555,,,-137.371,156.0445,-41.35850268
254,180.188,86.3516,,,-137.312,156.0484,-41.3455854
255,180.18,86.3633,,,-137.32,156.0367,-41.34937145
256,180.32,86.418,,,-137.18,155.982,-41.33035038
257,181.258,86.4062,,,-136.242,155.9938,-41.13334092
258,181.176,85.4531,,,-136.324,156.9469,-40.97756466
259,181.141,85.4453,,,-136.359,156.9547,-40.98343682
260,181.27,85.4023,,,-136.23,156.9977,-40.94882077
261,181.914,85.4141,,,-135.586,156.9859,-40.81660326
262,181.953,85.4023,,,-135.547,156.9977,-40.80631942
263,182.062,85.1211,,,-135.438,157.2789,-40.73281617
264,181.953,84.6094,,,-135.547,157.7906,-40.66359706
265,182.102,84.582,,,-135.398,157.818,-40.62753497
266,182.93,84.5352,,,-134.57,157.8648,-40.44554423
267,182.918,84.5586,,,-134.582,157.8414,-40.45225982
268,182.906,84.5625,,,-134.594,157.8375,-40.45548096
269,182.918,84.582,,,-134.582,157.818,-40.45645383
270,182.898,84.582,,,-134.602,157.818,-40.46065745
271,183.812,83.5625,,,-133.688,158.8375,-40.08615285
272,183.801,83.5391,,,-133.699,158.8609,-40.08431718
273,183.715,83.5234,,,-133.785,158.8766,-40.09967928
274,183.77,83.5586,,,-133.73,158.8414,-40.09432666
275,184.68,83.543,,,-132.82,158.857,-39.898924
276,184.656,83.5234,,,-132.844,158.8766,-39.90053974
277,184.672,83.2773,,,-132.828,159.1227,-39.85350997
278,184.676,82.7344,,,-132.824,159.6656,-39.7566859
279,184.703,82.7539,,,-132.797,159.6461,-39.7543997
280,185.648,82.7617,,,-131.852,159.6383,-39.55473599
281,185.637,82.7383,,,-131.863,159.6617,-39.55295955
282,185.547,82.7422,,,-131.953,159.6578,-39.57284206
283,185.598,82.7578,,,-131.902,159.6422,-39.56471504
284,186.52,82.2266,,,-130.98,160.1734,-39.27419801
285,186.539,82.2461,,,-130.961,160.1539,-39.27354323
286,186.547,82.2656,,,-130.953,160.1344,-39.27524689
287,186.535,82.2773,,,-130.965,160.1227,-39.27987132
288,186.578,82.2773,,,-130.922,160.1227,-39.27065097
289,186.578,82.2773,,,-130.922,160.1227,-39.27065097
290,187.395,81.4219,,,-130.105,160.9781,-38.94568159
291,187.434,81.3047,,,-130.066,161.0953,-38.91690144
292,187.41,81.3125,,,-130.09,161.0875,-38.92342452
293,187.402,81.2969,,,-130.098,161.1031,-38.92243471
294,187.512,81.2969,,,-129.988,161.1031,-38.89874758
295,188.156,81.2812,,,-129.344,161.1188,-38.75702697
296,188.242,81.2695,,,-129.258,161.1305,-38.73639407
297,188.199,81.25,,,-129.301,161.15,-38.74231179
298,188.152,80.3086,,,-129.348,162.0914,-38.58966476
299,188.191,80.3086,,,-129.309,162.0914,-38.58124142
300,188.355,80.3516,,,-129.145,162.0484,-38.55320752
301,189.039,80.3359,,,-128.461,162.0641,-38.40229659
302,189.082,80.332,,,-128.418,162.068,-38.39228807
303,188.945,80.3398,,,-128.555,162.0602,-38.42337146
304,189.062,79.4688,,,-128.438,162.9312,-38.24856832
305,189.281,79.3047,,,-128.219,163.0953,-38.17301272
306,190.055,79.3516,,,-127.445,163.0484,-38.01257287
307,189.93,79.3359,,,-127.57,163.0641,-38.03715201
308,189.93,79.3477,,,-127.57,163.0523,-38.03916425
309,189.926,79.3516,,,-127.574,163.0484,-38.04070123
