Frame,X pixels,Y pixels,Z pixels
0,317.2,238.6,0
705,317.6,237.2,0
708,317.2,237.8,0
711,317.362,238.451,0
715,317.6,237,0
716,318.2,236,0
717,318.6,235,0
718,319.2,236.2,0
719,318.4,238,0
720,318.6,238.8,0
721,318.8,239.8,0
723,318.4,238.8,0
724,318,237.4,0
725,317.4,236.2,0
726,317.8,236.2,0
729,318,237,0
730,317.6,237.8,0
810,317.6,237.8,0
811,317.6,237.4,0
812,317.4,235.4,0
813,317.8,234.8,0
814,318.2,236,0
815,318.4,237.2,0
818,319,239.4,0
819,318.8,239.2,0
820,318.4,239.2,0
821,318.2,237,0
823,317.4,236.4,0
825,317.2,236.4,0
850,316.8,237.8,0
860,316.8,237.8,0
862,316.6,235.8,0
863,317.4,235,0
864,319,237.4,0
865,318.6,238.4,0
866,318.8,238.2,0
869,320.2,239,0
870,320.8,238,0
871,320.4,237.2,0
872,319.4,236.8,0
873,319.2,236.6,0
874,318,237,0
875,317.2,236.6,0
876,316.8,236.4,0
878,316.6,237.2,0
879,317,238.2,0
895,318.313,237.71,0
897,317.578,237.422,0
898,317.4,237.8,0
973,317.4,237.8,0
974,317.2,237.6,0
975,317.2,238.2,0
976,316.2,238.2,0
977,314.8,237,0
978,318,236,0
979,318.8,235.8,0
981,320.2,236,0
982,323.2,237,0
983,328.6,239,0
984,329.8,241.8,0
985,331.2,243.4,0
986,332.2,244,0
987,331.8,243.4,0
990,331.2,241.4,0
992,330.905,240.501,0
994,331.441,239.373,0
999,333.473,240.055,0
1001,326.4,242.2,0
1002,322,241.8,0
1003,318.8,240,0
1004,315.4,237.8,0
1006,315.736,237.334,0
1010,317.6,238.2,0
1014,317.2,238,0