Frame,X pixels,Y pixels
1,491.468,177.863
2,491.347,177.77
3,491.382,177.633
4,491.351,177.484
5,491.273,177.391
6,491.316,177.172
7,491.226,177.078
8,491.038,177.102
9,491.308,176.91
10,491.171,176.742
11,490.898,176.77
12,490.929,176.559
13,490.991,176.059
14,490.722,176.105
15,490.515,176.137
16,490.593,175.676
17,490.519,175.566
18,490.249,175.547
19,490.28,175.418
20,490.3,175.316
21,490.261,175.242
22,490.218,175.191
23,490.269,175.008
24,490.187,174.934
25,489.929,174.941
26,489.909,174.789
27,489.812,174.738
28,489.581,174.738
29,489.55,174.559
30,489.417,174.34
31,489.214,174.332
32,488.917,174.168
33,488.741,174
34,488.503,173.879
35,488.273,173.668
36,487.913,173.547
37,487.722,173.516
38,487.499,173.324
39,487.276,173.145
40,487.077,172.969
41,486.874,172.762
42,486.671,172.578
43,486.628,172.48
44,486.495,172.359
45,486.362,172.254
46,486.159,172.207
47,486.132,172.25
48,486.116,172.191
49,486.069,172.152
50,486.023,172.027
51,485.987,171.926
52,485.929,171.867
53,485.913,171.793
54,485.859,171.664
55,485.796,171.73
56,485.776,171.789
57,485.741,171.672
58,485.691,171.613
59,485.612,171.57
60,485.542,171.441
61,485.507,171.418
62,485.476,171.348
63,485.429,171.168
64,485.362,171.215
65,485.433,171.18
66,485.413,171.062
67,485.296,171.02
68,485.421,170.891
69,485.394,170.844
70,485.308,170.789
71,485.37,170.672
72,485.441,170.633
73,485.374,170.676
74,485.39,170.523
75,485.437,170.449
76,485.339,170.492
77,485.359,170.418
78,485.339,170.316
79,485.382,170.277
80,485.331,170.203
81,485.386,170.07
136,478.15,166.395
221,479.694,183.625
371,472.214,196.656
523,450.212,204.156
594,434.71,208.656
653,419.209,210.156
699,405.708,213.656
747,391.206,217.656
798,384.206,219.156
830,413.708,219.656
852,425.709,223.156
888,434.21,224.156
979,447.712,234.156
1045,445.711,247.656
1125,438.711,262.156
1237,419.209,286.656
1317,391.206,306.656
1376,360.203,309.656
1418,344.202,308.656
1477,320.2,301.656
1520,296.197,292.656
1553,290.197,285.656
1606,286.196,270.656
1634,278.196,258.656
1667,266.194,249.656
1704,256.193,227.656
1755,244.192,201.656
1800,248.193,182.656
1839,265.194,188.656
1850,270.195,189.656
1887,280.196,169.656
1932,296.197,151.656
2000,331.201,144.656
2055,345.202,151.656
2103,357.203,149.656
2200,388.706,143.656
2282,420.209,135.656
2353,457.212,127.156
2417,484.215,137.156
2485,490.216,173.656
2491,496.884,172.699
2557,498.216,186.156
2605,512.724,189.536
2636,512.218,196.656
2719,489.216,208.156
2827,488.215,226.656
2891,482.715,234.156
2973,475.714,243.156
3147,512.718,275.156
3262,555.722,305.156
3407,548.721,238.156
3623,499.716,254.156
3759,473.714,253.156
3890,470.714,261.156
4064,477.714,292.156
4125,478.714,270.156
4186,467.713,246.156
4201,465.713,245.156
4202,696.735,319.156
4203,692.735,318.156
4240,678.733,266.156
4258,676.733,243.156
4310,661.732,241.156
4362,638.73,233.156
4438,619.728,245.156